"zip","median_income_census"
"Geographic Area Name",NA
"14609",64603
"14610",85961
"14611",31376
"14612",82800
"14613",37778
"14614",62500
"14615",51262
"14616",66499
"14617",90192
"14618",125098
"14619",68333
"14620",61783
"14621",35383
"14622",75439
"14623",65342
"14624",87989
"14625",110865
"14626",78204
"14627",NA
"14642",NA
"14701",49685
"14706",73236
"14707",46250
"14708",69286
"14709",53889
"14710",66120
"14711",65938
"14712",86083
"14714",115230
"14715",55640
"14716",60278
"14717",83542
"14718",56250
"14719",62188
"14720",51875
"14721",40250
"14722",NA
"14723",68261
"14724",83063
"14726",55156
"14727",63257
"14728",67875
"14729",64276
"14731",67583
"14732",31250
"14733",63068
"14735",69891
"14736",92917
"14737",60270
"14738",80103
"14739",57794
"14740",64853
"14741",70962
"14742",78750
"14743",57244
"14744",77750
"14747",56667
"14748",47917
"14750",66622
"14752",NA
"14753",55000
"14754",62750
"14755",66103
"14756",NA
"14757",67115
"14760",54929
"14767",67607
"14769",49267
"14770",56910
"14772",79583
"14774",39250
"14775",49961
"14777",57500
"14778",NA
"14779",42593
"14781",61625
"14782",71250
"14783",NA
"14784",77750
"14785",NA
"14787",53587
"14788",66000
"14801",63125
"14802",40489
"14803",51694
"14804",83173
"14805",65000
"14806",74688
"14807",64408
"14808",33203
"14809",63875
"14810",51950
"14812",62073
"14813",63750
"14814",98783
"14815",56875
"14816",63487
"14817",77228
"14818",69107
"14819",50000
"14820",64306
"14821",77609
"14822",66771
"14823",63140
"14824",61061
"14825",61250
"14826",69464
"14827",NA
"14830",73263
"14836",74130
"14837",65845
"14838",73884
"14839",79861
"14840",84792
"14841",89821
"14842",74821
"14843",57874
"14845",76832
"14846",73587
"14847",73594
"14850",71445
"14853",NA
"14854",NA
"14855",76500
"14856",NA
"14858",81750
"14859",98750
"14860",78170
"14861",64904
"14864",63667
"14865",53846
"14867",75507
"14869",80481
"14870",84476
"14871",72484
"14872",62708
"14873",68239
"14874",90500
"14877",57750
"14878",NA
"14879",53750
"14880",58750
"14881",89063
"14882",91960
"14883",68750
"14884",48750
"14885",75500
"14886",82000
"14889",61944
"14891",61875
"14892",54043
"14893",NA
"14894",51250
"14895",63910
"14897",66458
"14898",58824
"14901",40989
"14903",67012
"14904",53174
"14905",90825
